Year,COMMENT_OBS,Composite breakdown,Value
2000,Year-end value for installed capacity (watts) and mid-year for population ,,61.423
2001,Year-end value for installed capacity (watts) and mid-year for population ,,61.204
2002,Year-end value for installed capacity (watts) and mid-year for population ,,62.722
2003,Year-end value for installed capacity (watts) and mid-year for population ,,62.576
2004,Year-end value for installed capacity (watts) and mid-year for population ,,62.379
2005,Year-end value for installed capacity (watts) and mid-year for population ,,62.086
2006,Year-end value for installed capacity (watts) and mid-year for population ,,61.684
2007,Year-end value for installed capacity (watts) and mid-year for population ,,61.178
2008,Year-end value for installed capacity (watts) and mid-year for population ,,67.353
2009,Year-end value for installed capacity (watts) and mid-year for population ,,66.6
2010,Year-end value for installed capacity (watts) and mid-year for population ,,65.791
2011,Year-end value for installed capacity (watts) and mid-year for population ,,66.198
2012,Year-end value for installed capacity (watts) and mid-year for population ,,65.138
2013,Year-end value for installed capacity (watts) and mid-year for population ,,64.441
2014,Year-end value for installed capacity (watts) and mid-year for population ,,63.376
2015,Year-end value for installed capacity (watts) and mid-year for population ,,63.536
2016,Year-end value for installed capacity (watts) and mid-year for population ,,62.883
2017,Year-end value for installed capacity (watts) and mid-year for population ,,62.326
2018,Year-end value for installed capacity (watts) and mid-year for population ,,82.532
2019,Year-end value for installed capacity (watts) and mid-year for population ,,81.399
2020,Year-end value for installed capacity (watts) and mid-year for population ,,80.606
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,5.176
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,5.158
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.818
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.802
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.78
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.749
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.705
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.65
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.583
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.546
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.458
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,7.755
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,7.625
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,7.49
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,7.36
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,7.239
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,7.127
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,7.024
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.926
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.828
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,6.728
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,56.247
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,56.047
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,55.904
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,55.774
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,55.599
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,55.338
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,54.979
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,54.528
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,60.769
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,60.054
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,59.333
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,58.428
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,57.445
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,56.803
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,55.817
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,55.984
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,55.391
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,54.862
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,74.871
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,73.815
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Hydropower,72.735
2000,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2001,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2002,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2003,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2004,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2005,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2006,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2007,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2008,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2009,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2010,Obs_Value = 0;  Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.0
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.014
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.069
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.148
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.199
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.313
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.364
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.439
2018,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.735
2019,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,0.756
2020,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Solar energy,1.143
